,vehicle_id,vehicle_eclass,vehicle_fuel,laneID,vehicle_type,vehicle_x,vehicle_y,edgeID,lon,lat,cluster_label
49,pedestrian_1-3_138_tr,hbefa3/pc_g_eu4,1.0,153359_1_1,passenger3,7458.77,4695.53,153359_1,7.454546566149951,43.76178134336546,1
50,pedestrian_1-3_1630_tr,hbefa3/pc_g_eu4,0.93,152558_6_2,passenger2b,7258.29,4503.54,152558_6,7.451330416269894,43.75956915965043,1
51,pedestrian_1-3_1646_tr,hbefa3/pc_g_eu4,1.0,152558_6_2,passenger4,7238.28,4484.62,152558_6,7.451330416269894,43.75956915965043,1
52,pedestrian_1-3_19_tr,hbefa3/pc_g_eu4,0.98,153359_1_1,passenger3,7477.26,4705.33,153359_1,7.454546566149951,43.76178134336546,1
53,pedestrian_1-3_2578_tr,hbefa3/pc_g_eu4,1.0,152558_6_1,passenger1,7257.13,4506.57,152558_6,7.451358150957602,43.75954864684783,1
54,pedestrian_1-3_2741_tr,hbefa3/pc_g_eu4,0.0,152558_6_1,passenger1,7245.92,4497.61,152558_6,7.451358150957602,43.75954864684783,1
55,pedestrian_1-3_2801_tr,hbefa3/pc_g_eu4,0.9,153326_1_1,passenger3,7011.39,4424.9,153326_1,7.451902239005392,43.763084945141166,1
56,pedestrian_1-3_3235_tr,hbefa3/pc_g_eu4,0.93,153485_3_1,passenger4,7160.05,5005.67,153485_3,7.450809820842694,43.76471314169925,1
57,pedestrian_1-3_3378_tr,hbefa3/pc_g_eu4,1.0,152558_6_1,passenger2a,7257.13,4506.57,152558_6,7.451358150957602,43.75954864684783,1
58,pedestrian_1-3_3602_tr,hbefa3/pc_g_eu4,1.0,152558_6_2,passenger1,7258.29,4503.54,152558_6,7.451330416269894,43.75956915965043,1
59,pedestrian_1-3_3792_tr,hbefa3/pc_g_eu4,0.93,153012_1_2,passenger2a,8641.95,4299.22,153012_1,7.469405337324932,43.75858332395062,1
60,pedestrian_1-3_380_tr,hbefa3/pc_g_eu4,1.0,152558_6_1,passenger2b,7235.81,4486.69,152558_6,7.451358150957602,43.75954864684783,1
61,pedestrian_1-3_4008_tr,hbefa3/pc_g_eu4,1.0,153359_0_1,passenger2b,7315.56,4512.71,153359_0,7.452651697792274,43.76026738183603,1
